2023-01-09 15:32:32 [background-preinit] INFO  : HV000001: Hibernate Validator 6.2.5.Final
2023-01-09 15:36:05 [http-nio-8080-exec-3] INFO  : [ArtistsController] -> PUT, createOrReplaceArtist, uuid:1924133, artist:NewArtistRequest(name=Rihanna-Soppdd, active=true)
2023-01-09 15:36:05 [http-nio-8080-exec-3] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMDdUMTE6MzY6MTMuNzU2MDMyIiwgImp0aSI6ICI4OTNhYWVkMi04ZTZhLTExZWQtOTMyOS02NWQ3ZGRmY2U1YmEiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.6XLZqGLnOMDQyRpJE-TpPjCyt1TQIZrvTQzrFuNfcF0
2023-01-09 15:36:30 [http-nio-8080-exec-4] INFO  : [ArtistsController] -> PUT, createOrReplaceArtist, uuid:1924133, artist:NewArtistRequest(name=Rihanna-Soppdd, active=true)
2023-01-09 15:36:30 [http-nio-8080-exec-4] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMDlUMTY6MDY6MTguMzE4NjIwIiwgImp0aSI6ICI5OGJhN2U4Mi05MDIyLTExZWQtYjI0Ni05NWFlYzEzMTk0MDIiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.b6wGsvBn4tXSWIC5c0CPuP5Ya0VpPm3HhM2CLlEZ3hA
2023-01-09 15:36:36 [http-nio-8080-exec-5] INFO  : [ArtistsController] -> PUT, createOrReplaceArtist, uuid:1924133, artist:NewArtistRequest(name=Rihanna-Soppdd, active=true)
2023-01-09 15:36:36 [http-nio-8080-exec-5] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMDlUMTY6MDY6MTguMzE4NjIwIiwgImp0aSI6ICI5OGJhN2U4Mi05MDIyLTExZWQtYjI0Ni05NWFlYzEzMTk0MDIiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.b6wGsvBn4tXSWIC5c0CPuP5Ya0VpPm3HhM2CLlEZ3hA
2023-01-09 15:36:39 [http-nio-8080-exec-6] INFO  : [ArtistsController] -> PUT, createOrReplaceArtist, uuid:1924133, artist:NewArtistRequest(name=Rihanna-Soppdd, active=true)
2023-01-09 15:36:39 [http-nio-8080-exec-6] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMDlUMTY6MDY6MTguMzE4NjIwIiwgImp0aSI6ICI5OGJhN2U4Mi05MDIyLTExZWQtYjI0Ni05NWFlYzEzMTk0MDIiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.b6wGsvBn4tXSWIC5c0CPuP5Ya0VpPm3HhM2CLlEZ3hA
2023-01-09 15:36:44 [http-nio-8080-exec-7] INFO  : [ArtistsController] -> PUT, createOrReplaceArtist, uuid:19241339, artist:NewArtistRequest(name=Rihanna-Soppdd, active=true)
2023-01-09 15:36:44 [http-nio-8080-exec-7] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjMtMDEtMDlUMTY6MDY6MTguMzE4NjIwIiwgImp0aSI6ICI5OGJhN2U4Mi05MDIyLTExZWQtYjI0Ni05NWFlYzEzMTk0MDIiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.b6wGsvBn4tXSWIC5c0CPuP5Ya0VpPm3HhM2CLlEZ3hA
2023-01-09 15:36:51 [http-nio-8080-exec-8] INFO  : [ArtistsController] -> DELETE, deleteArtist, uuid:3
2023-01-09 15:36:51 [http-nio-8080-exec-8] INFO  : [AuthService] -> authorize: authHeader:Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiAiaHR0cDovLzEyNy4wLjAuMTo4MDAwIiwgInN1YiI6IDM4LCAiZXhwIjogIjIwMjItMTItMzBUMjM6MDM6NDEuNjUwNjM2IiwgImp0aSI6ICIzZjg5Y2I3Yy04ODgxLTExZWQtYTMxNS05OTZhYWFhODkxNTAiLCAicm9sZXMiOiBbIkNPTlRFTlRfTUFOQUdFUiIsICJBUlRJU1QiLCAiQ0xJRU5UIl19.cuF0bHlrD9nv1QIOxQCRhvjkAFXx6TtP41jI6y38m8Q
2023-01-09 15:37:02 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-01-09 15:37:02 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2023-01-09 15:37:02 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
